ID	miRNA_ID	SPOT_ID
N21	hsa-miR-216a	
N22	hsa-miR-206	
N23	hsa-miR-921	
N24	hsa-miR-513a-5p	
N3	hsa-miR-382	
N4	hsa-miR-373	
N5	hsa-miR-200c	
N6	hsa-miR-9*	
N7	hsa-miR-181b	
N8	hsa-miR-628-3p	
N9	hsa-miR-195	
O1	hsa-miR-140-3p	
O10	hsa-miR-411	
O11	hsa-miR-216b	
O12	hsa-miR-106b	
O13	hsa-miR-886-3p	
O14	hsa-miR-510	
O15	hsa-miR-212	
O16	hsa-miR-525-5p	
O17	hsa-miR-589	
O18	hsa-miR-576-3p	
O19	hsa-miR-583	
O2	hsa-miR-181a	
O20	hsa-miR-483-3p	
O21	hsa-miR-582-5p	
O22	hsa-miR-886-5p	
O23	hsa-miR-33b	
O24	hsa-miR-193a-3p	
O3	hsa-miR-122	
O4	hsa-miR-106a	
O5	hsa-miR-182	
O6	hsa-miR-370	
O7	hsa-let-7d*	
O8	hsa-miR-425*	
O9	hsa-miR-450a	
P1	hsa-miR-153	
P10	hsa-miR-137	
P11	hsa-miR-508-3p	
P12	hsa-miR-539	
P13	hsa-miR-148a	
P14	hsa-miR-146a	
P15	hsa-miR-139-5p	
P16	hsa-miR-373*	
P17	hsa-miR-149	
P18	hsa-miR-642	
P19	hsa-miR-31	
P2		BLANK
P20	hsa-miR-451	
P21	hsa-miR-100	
P22	hsa-miR-27b	
P23	hsa-miR-523	
P3	hsa-miR-409-3p	
P4	hsa-miR-22	
P5	hsa-miR-629	
P6	hsa-miR-365	
P7	hsa-miR-429	
P8	hsa-miR-98	
P9	hsa-miR-518a-3p	
