ID	Detector	miRNA_ID	SPOT_ID
583	hsa-miR-939-002182	hsa-miR-939	
584	hsa-miR-941-002183	hsa-miR-941	
585	hsa-miR-335#-002185	hsa-miR-335#	
586	hsa-miR-942-002187	hsa-miR-942	
587	hsa-miR-943-002188	hsa-miR-943	
588	hsa-miR-944-002189	hsa-miR-944	
589	hsa-miR-99b#-002196	hsa-miR-99b#	
590	hsa-miR-124#-002197	hsa-miR-124#	
591	hsa-miR-541#-002200	hsa-miR-541#	
592	hsa-miR-875-5p-002203	hsa-miR-875-5p	
593	hsa-miR-888#-002213	hsa-miR-888#	
594	hsa-miR-892b-002214	hsa-miR-892b	
595	hsa-miR-9#-002231	hsa-miR-9#	
596	hsa-miR-411#-002238	hsa-miR-411#	
597	hsa-miR-378-002243	hsa-miR-378	
598	hsa-miR-151-3p-002254	hsa-miR-151-3p	
599	hsa-miR-340#-002259	hsa-miR-340#	
600	hsa-miR-190b-002263	hsa-miR-190b	
601	hsa-miR-545#-002266	hsa-miR-545#	
602	hsa-miR-183#-002270	hsa-miR-183#	
603	hsa-miR-192#-002272	hsa-miR-192#	
604	hsa-miR-200b#-002274	hsa-miR-200b#	
605	hsa-miR-200c#-002286	hsa-miR-200c#	
606	hsa-miR-155#-002287	hsa-miR-155#	
607	hsa-miR-10a#-002288	hsa-miR-10a#	
608	hsa-miR-214#-002293	hsa-miR-214#	
609	hsa-miR-218-2#-002294	hsa-miR-218-2#	
610	hsa-miR-129#-002298	hsa-miR-129#	
611	hsa-miR-22#-002301	hsa-miR-22#	
612	hsa-miR-425#-002302	hsa-miR-425#	
613	hsa-miR-30d#-002305	hsa-miR-30d#	
614	hsa-let-7a#-002307	hsa-let-7a#	
615	hsa-miR-424#-002309	hsa-miR-424#	
616	hsa-miR-18b#-002310	hsa-miR-18b#	
617	hsa-miR-20b#-002311	hsa-miR-20b#	
618	hsa-miR-431#-002312	hsa-miR-431#	
619	hsa-miR-7-2#-002314	hsa-miR-7-2#	
620	hsa-miR-10b#-002315	hsa-miR-10b#	
621	hsa-miR-34a#-002316	hsa-miR-34a#	
622	hsa-miR-181a-2#-002317	hsa-miR-181a-2#	
623	hsa-miR-744#-002325	hsa-miR-744#	
624	hsa-miR-452#-002330	hsa-miR-452#	
625	hsa-miR-409-3p-002332	hsa-miR-409-3p	
626	hsa-miR-181c#-002333	hsa-miR-181c#	
627	hsa-miR-196a#-002336	hsa-miR-196a#	
628	hsa-miR-483-3p-002339	hsa-miR-483-3p	
629	hsa-miR-708#-002342	hsa-miR-708#	
630	hsa-miR-92b#-002343	hsa-miR-92b#	
631	hsa-miR-551b#-002346	hsa-miR-551b#	
632	hsa-miR-202#-002362	hsa-miR-202#	
633	hsa-miR-193b#-002366	hsa-miR-193b#	
634	hsa-miR-497#-002368	hsa-miR-497#	
635	hsa-miR-518e#-002371	hsa-miR-518e#	
636	hsa-miR-543-002376	hsa-miR-543	
637	hsa-miR-125b-1#-002378	hsa-miR-125b-1#	
638	hsa-miR-194#-002379	hsa-miR-194#	
639	hsa-miR-106b#-002380	hsa-miR-106b#	
640	hsa-miR-302a#-002381	hsa-miR-302a#	
641	hsa-miR-519b-3p-002384	hsa-miR-519b-3p	
642	hsa-miR-518f#-002387	hsa-miR-518f#	
643	hsa-miR-374b#-002391	hsa-miR-374b#	
644	hsa-miR-520c-3p-002400	hsa-miR-520c-3p	
645	hsa-let-7b#-002404	hsa-let-7b#	
646	hsa-let-7c#-002405	hsa-let-7c#	
647	hsa-let-7e#-002407	hsa-let-7e#	
648	hsa-miR-550-002410	hsa-miR-550	
649	hsa-miR-593-002411	hsa-miR-593	
650	hsa-let-7f-1#-002417	hsa-let-7f-1#	
651	hsa-let-7f-2#-002418	hsa-let-7f-2#	
652	hsa-miR-15a#-002419	hsa-miR-15a#	
653	hsa-miR-16-1#-002420	hsa-miR-16-1#	
654	hsa-miR-17#-002421	hsa-miR-17#	
655	hsa-miR-18a#-002423	hsa-miR-18a#	
656	hsa-miR-19a#-002424	hsa-miR-19a#	
657	hsa-miR-19b-1#-002425	hsa-miR-19b-1#	
658	hsa-miR-625#-002432	hsa-miR-625#	
659	hsa-miR-628-3p-002434	hsa-miR-628-3p	
660	hsa-miR-20a#-002437	hsa-miR-20a#	
661	hsa-miR-21#-002438	hsa-miR-21#	
662	hsa-miR-23a#-002439	hsa-miR-23a#	
663	hsa-miR-24-1#-002440	hsa-miR-24-1#	
664	hsa-miR-24-2#-002441	hsa-miR-24-2#	
665	hsa-miR-25#-002442	hsa-miR-25#	
666	hsa-miR-26a-1#-002443	hsa-miR-26a-1#	
667	hsa-miR-26b#-002444	hsa-miR-26b#	
668	hsa-miR-27a#-002445	hsa-miR-27a#	
669	hsa-miR-29a#-002447	hsa-miR-29a#	
670	hsa-miR-151-5P-002642	hsa-miR-151-5P	
671	hsa-miR-765-002643	hsa-miR-765	
672	hsa-miR-338-5P-002658	hsa-miR-338-5P	
673	hsa-miR-620-002672	hsa-miR-620	
674	hsa-miR-577-002675	hsa-miR-577	
675	hsa-miR-144-002676	hsa-miR-144	
676	hsa-miR-590-3P-002677	hsa-miR-590-3P	
677	hsa-miR-191#-002678	hsa-miR-191#	
678	hsa-miR-665-002681	hsa-miR-665	
679	hsa-miR-520D-3P-002743	hsa-miR-520D-3P	
680	hsa-miR-1224-3P-002752	hsa-miR-1224-3P	
681	has-miR-1305-002867	has-miR-1305	
682	hsa-miR-513C-002756	hsa-miR-513C	
683	hsa-miR-513B-002757	hsa-miR-513B	
684	hsa-miR-1226#-002758	hsa-miR-1226#	
685	hsa-miR-1236-002761	hsa-miR-1236	
686	hsa-miR-1228#-002763	hsa-miR-1228#	
687	hsa-miR-1225-3P-002766	hsa-miR-1225-3P	
688	hsa-miR-1233-002768	hsa-miR-1233	
689	hsa-miR-1227-002769	hsa-miR-1227	
690	hsa-miR-1286-002773	hsa-miR-1286	
691	hsa-miR-548M-002775	hsa-miR-548M	
692	hsa-miR-1179-002776	hsa-miR-1179	
693	hsa-miR-1178-002777	hsa-miR-1178	
694	hsa-miR-1205-002778	hsa-miR-1205	
695	hsa-miR-1271-002779	hsa-miR-1271	
