ID_REF	miRNA_ID	SN_ID	Organism
738	mmu-miR-1961		Mus musculus
739	mmu-miR-1199		Mus musculus
740	mmu-miR-466k		Mus musculus
741	mmu-miR-1894-3p		Mus musculus
742	mmu-miR-1937c		Mus musculus
743	mmu-miR-466g		Mus musculus
744	mmu-miR-1937b		Mus musculus
745	hsa-miR-196a		Mus musculus
746	hsa-miR-875-5p		Mus musculus
747	hsa-miR-206		Mus musculus
748	mmu-miR-290		Mus musculus
749	mmu-miR-707		Mus musculus
750	rno-miR-352		Mus musculus
751	mmu-miR-764-5p		Mus musculus
752	hsa-miR-485-5p		Mus musculus
753	mmu-miR-199b		Mus musculus
754	mmu-miR-34b		Mus musculus
755	mmu-miR-697		Mus musculus
756	rno-miR-7#		Mus musculus
757	mmu-miR-501		Mus musculus
758	mmu-miR-592		Mus musculus
759	mmu-miR-21#		Mus musculus
760	mmu-miR-466b-3-3p		Mus musculus
761	mmu-miR-294#		Mus musculus
762	mmu-miR-1194		Mus musculus
763	mmu-miR-669G		Mus musculus
764	mmu-miR-1943		Mus musculus
765	mmu-miR-1949		Mus musculus
766	mmu-miR-1956		Mus musculus
767	mmu-miR-1906		Mus musculus
768	mmu-miR-1946a		Mus musculus
