ID_REF	miRNA_ID	SN_ID	Organism
281	mmu-miR-551b		Mus musculus
282	mmu-miR-574-3p		Mus musculus
283	mmu-miR-582-3p		Mus musculus
284	mmu-miR-582-5p		Mus musculus
285	mmu-miR-590-5p		Mus musculus
286	mmu-miR-598		Mus musculus
287	rno-miR-598-5p		Mus musculus
288	mmu-miR-615-3p		Mus musculus
289	mmu-miR-615-5p		Mus musculus
290	mmu-miR-654-3p		Mus musculus
291	mmu-miR-654-5p		Mus musculus
292	mmu-miR-665		Mus musculus
293	mmu-miR-666-5p		Mus musculus
294	mmu-miR-669a		Mus musculus
295	mmu-miR-671-3p		Mus musculus
296	mmu-miR-672		Mus musculus
297	rno-miR-673		Mus musculus
298	mmu-miR-674		Mus musculus
299	mmu-miR-708		Mus musculus
300	mmu-miR-741		Mus musculus
301	mmu-miR-742		Mus musculus
302	rno-miR-742		Mus musculus
303	mmu-miR-743b-3p		Mus musculus
304	mmu-miR-743b-5p		Mus musculus
305	mmu-miR-743a		Mus musculus
306	rno-miR-743b		Mus musculus
307	mmu-miR-744		Mus musculus
308	rno-miR-758		Mus musculus
309	rno-miR-760-5p		Mus musculus
310	mmu-miR-770-3p		Mus musculus
311	mmu-miR-802		Mus musculus
312	mmu-miR-871		Mus musculus
313	rno-miR-871		Mus musculus
314	mmu-miR-872		Mus musculus
315	mmu-miR-873		Mus musculus
316	mmu-miR-874		Mus musculus
317	mmu-miR-875-3p		Mus musculus
318	mmu-miR-876-3p		Mus musculus
319	mmu-miR-876-5p		Mus musculus
320	rno-miR-878		Mus musculus
321	mmu-miR-878-5p		Mus musculus
322	mmu-miR-879		Mus musculus
323	mmu-miR-881		Mus musculus
324	rno-miR-881		Mus musculus
325	mmu-miR-883a-3p		Mus musculus
326	mmu-miR-883b-3p		Mus musculus
327	mmu-miR-883a-5p		Mus musculus
328	mmu-miR-125b-3p		Mus musculus
329	mmu-miR-143		Mus musculus
330	rno-miR-219-1-3p		Mus musculus
331	rno-miR-219-2-3p		Mus musculus
332	rno-miR-224		Mus musculus
333	mmu-miR-324-3p		Mus musculus
334	mmu-miR-351		Mus musculus
335	rno-miR-381		Mus musculus
336	rno-miR-409-5p		Mus musculus
337	rno-miR-450a		Mus musculus
338	mmu-miR-452		Mus musculus
339	mmu-miR-464		Mus musculus
340	mmu-miR-467b		Mus musculus
341	mmu-miR-468		Mus musculus
342	mmu-miR-469		Mus musculus
343	mmu-miR-488		Mus musculus
344	mmu-miR-490		Mus musculus
345	mmu-miR-496		Mus musculus
346	rno-miR-505		Mus musculus
347	mmu-miR-546		Mus musculus
348	mmu-miR-547		Mus musculus
349	mmu-miR-652		Mus musculus
350	mmu-miR-667		Mus musculus
351	mmu-miR-668		Mus musculus
352	mmu-miR-670		Mus musculus
353	mmu-miR-675-3p		Mus musculus
354	mmu-miR-675-5p		Mus musculus
355	mmu-miR-676		Mus musculus
356	mmu-miR-677		Mus musculus
357	mmu-miR-679		Mus musculus
358	mmu-miR-680		Mus musculus
359	mmu-miR-682		Mus musculus
360	mmu-miR-683		Mus musculus
361	mmu-miR-684		Mus musculus
362	mmu-miR-685		Mus musculus
363	mmu-miR-686		Mus musculus
364	mmu-miR-687		Mus musculus
365	mmu-let-7a		Mus musculus
366	mmu-let-7f		Mus musculus
367	mmu-miR-106b		Mus musculus
368	mmu-miR-155		Mus musculus
369	mmu-miR-17		Mus musculus
370	mmu-miR-23a		Mus musculus
371	mmu-miR-29a		Mus musculus
372	mmu-miR-30a		Mus musculus
373	mmu-miR-30e		Mus musculus
374	mmu-miR-31		Mus musculus
375	mmu-miR-34b-3p		Mus musculus
376	mmu-miR-92a		Mus musculus
377	rno-miR-190b		Mus musculus
378	mmu-miR-129-5p		Mus musculus
379	mmu-miR-187		Mus musculus
380	mmu-miR-188-3p		Mus musculus
381	mmu-miR-106a		Mus musculus
382	mmu-miR-188-5p		Mus musculus
383	mmu-miR-302b		Mus musculus
384	mmu-miR-322		Mus musculus
385	hsa-miR-136#		Mus musculus
386	hsa-miR-30c-1#		Mus musculus
387	hsa-miR-30c-2#		Mus musculus
388	hsa-miR-148a#		Mus musculus
389	hsa-miR-33a#		Mus musculus
390	hsa-miR-93#		Mus musculus
391	hsa-miR-29b-2#		Mus musculus
392	hsa-let-7i#		Mus musculus
393	hsa-miR-15b#		Mus musculus
394	hsa-miR-27b#		Mus musculus
395			Mus musculus
396			Mus musculus
397	hsa-miR-935		Mus musculus
398	hsa-miR-99b#		Mus musculus
399	hsa-miR-124#		Mus musculus
400	hsa-miR-127-5p		Mus musculus
401	hsa-miR-9#		Mus musculus
402	hsa-miR-140-3p		Mus musculus
403	hsa-miR-411#		Mus musculus
404	hsa-miR-149		Mus musculus
405	hsa-miR-378		Mus musculus
406	hsa-miR-200a#		Mus musculus
407	mmu-miR-10b		Mus musculus
408	hsa-miR-340		Mus musculus
409	hsa-miR-338		Mus musculus
410	hsa-miR-324-3p		Mus musculus
411	hsa-miR-30e-3p		Mus musculus
412	hsa-miR-30a-3p		Mus musculus
413	hsa-miR-223		Mus musculus
414	hsa-miR-22		Mus musculus
415	hsa-miR-214		Mus musculus
416	hsa-miR-213		Mus musculus
417	hsa-miR-200c		Mus musculus
418	hsa-miR-143		Mus musculus
419			Mus musculus
420			Mus musculus
421	hsa-miR-136		Mus musculus
422	hsa-miR-299-5p		Mus musculus
423	hsa-miR-412		Mus musculus
424	hsa-miR-425		Mus musculus
425	mmu-miR-295#		Mus musculus
426	rno-miR-504		Mus musculus
427	mmu-miR-1224		Mus musculus
428	hsa-miR-363#		Mus musculus
429	mmu-miR-217		Mus musculus
430	mmu-miR-291-3p		Mus musculus
431	mmu-miR-291-5p		Mus musculus
432	mmu-miR-292-3p		Mus musculus
433	mmu-miR-292-5p		Mus musculus
434	mmu-miR-300		Mus musculus
435	mmu-miR-322		Mus musculus
436	mmu-miR-325		Mus musculus
437	mmu-miR-326		Mus musculus
438	mmu-miR-330		Mus musculus
439	mmu-miR-337		Mus musculus
440	mmu-miR-345		Mus musculus
441	mmu-miR-370		Mus musculus
442	mmu-miR-433-5p		Mus musculus
443	rno-miR-513		Mus musculus
444	hsa-miR-200b		Mus musculus
445	mmu-miR-483		Mus musculus
446	mmu-miR-494		Mus musculus
447	mmu-miR-302b#		Mus musculus
448	mmu-miR-374-5p		Mus musculus
449	mmu-miR-695		Mus musculus
450	mmu-miR-696		Mus musculus
451	mmu-miR-720		Mus musculus
452	mmu-miR-698		Mus musculus
453	mmu-miR-700		Mus musculus
454	mmu-miR-701		Mus musculus
455	mmu-miR-702		Mus musculus
456	mmu-miR-133a#		Mus musculus
457	mmu-miR-706		Mus musculus
458	mmu-miR-710		Mus musculus
459	mmu-miR-711		Mus musculus
460	mmu-miR-713		Mus musculus
461	mmu-miR-715		Mus musculus
462	mmu-miR-717		Mus musculus
463	mmu-miR-718		Mus musculus
464	mmu-miR-721		Mus musculus
465	mmu-miR-690		Mus musculus
466	mmu-miR-691		Mus musculus
467			Mus musculus
468	mmu-miR-692		Mus musculus
469	mmu-miR-693		Mus musculus
470	mmu-miR-694		Mus musculus
471	mmu-miR-467b		Mus musculus
