ID_REF	MIRNA_ID	SN_ID	PLT_NAME	ORGANISM
120	hsa-miR-194		GPL15467	Homo Sapiens
121	hsa-miR-195		GPL15467	Homo Sapiens
122	hsa-miR-196b		GPL15467	Homo Sapiens
123	hsa-miR-197		GPL15467	Homo Sapiens
124	hsa-miR-198		GPL15467	Homo Sapiens
125	hsa-miR-199a-5p		GPL15467	Homo Sapiens
126	hsa-miR-199a-3p		GPL15467	Homo Sapiens
127	hsa-miR-199b-5p		GPL15467	Homo Sapiens
128	hsa-miR-200a		GPL15467	Homo Sapiens
129	hsa-miR-200b		GPL15467	Homo Sapiens
130	hsa-miR-200c		GPL15467	Homo Sapiens
131	hsa-miR-202		GPL15467	Homo Sapiens
132	hsa-miR-203		GPL15467	Homo Sapiens
133	hsa-miR-204		GPL15467	Homo Sapiens
134	hsa-miR-205		GPL15467	Homo Sapiens
135	hsa-miR-208b		GPL15467	Homo Sapiens
136	hsa-miR-210		GPL15467	Homo Sapiens
137	hsa-miR-214		GPL15467	Homo Sapiens
138	hsa-miR-215		GPL15467	Homo Sapiens
139	hsa-miR-216a		GPL15467	Homo Sapiens
140	hsa-miR-216b		GPL15467	Homo Sapiens
141	hsa-miR-217		GPL15467	Homo Sapiens
142	hsa-miR-218		GPL15467	Homo Sapiens
143	hsa-miR-219-5p		GPL15467	Homo Sapiens
144	hsa-miR-221		GPL15467	Homo Sapiens
145	hsa-miR-222		GPL15467	Homo Sapiens
146	hsa-miR-223		GPL15467	Homo Sapiens
147	hsa-miR-224		GPL15467	Homo Sapiens
148	hsa-miR-296-3p		GPL15467	Homo Sapiens
149	hsa-miR-296-5p		GPL15467	Homo Sapiens
150	hsa-miR-299-3p		GPL15467	Homo Sapiens
151	hsa-miR-299-5p		GPL15467	Homo Sapiens
152	hsa-miR-301a		GPL15467	Homo Sapiens
153	hsa-miR-301b		GPL15467	Homo Sapiens
154	hsa-miR-302a		GPL15467	Homo Sapiens
155	ath-miR159a		GPL15467	Homo Sapiens
156	hsa-miR-302b		GPL15467	Homo Sapiens
157	hsa-miR-302c		GPL15467	Homo Sapiens
158	hsa-miR-320		GPL15467	Homo Sapiens
159	hsa-miR-323-3p		GPL15467	Homo Sapiens
160	hsa-miR-324-3p		GPL15467	Homo Sapiens
161	hsa-miR-324-5p		GPL15467	Homo Sapiens
162	hsa-miR-326		GPL15467	Homo Sapiens
163	hsa-miR-328		GPL15467	Homo Sapiens
164	hsa-miR-329		GPL15467	Homo Sapiens
165	hsa-miR-330-3p		GPL15467	Homo Sapiens
166	hsa-miR-330-5p		GPL15467	Homo Sapiens
167	hsa-miR-331-3p		GPL15467	Homo Sapiens
168	hsa-miR-331-5p		GPL15467	Homo Sapiens
169	hsa-miR-335		GPL15467	Homo Sapiens
170	hsa-miR-337-5p		GPL15467	Homo Sapiens
171	hsa-miR-338-3p		GPL15467	Homo Sapiens
172	hsa-miR-339-3p		GPL15467	Homo Sapiens
173	hsa-miR-339-5p		GPL15467	Homo Sapiens
174	hsa-miR-340		GPL15467	Homo Sapiens
175	has-miR-155		GPL15467	Homo Sapiens
176	hsa-let-7b		GPL15467	Homo Sapiens
177	hsa-miR-342-3p		GPL15467	Homo Sapiens
178	hsa-miR-342-5p		GPL15467	Homo Sapiens
179	hsa-miR-345		GPL15467	Homo Sapiens
180	hsa-miR-361-5p		GPL15467	Homo Sapiens
181	hsa-miR-362-3p		GPL15467	Homo Sapiens
182	hsa-miR-362-5p		GPL15467	Homo Sapiens
183	hsa-miR-363		GPL15467	Homo Sapiens
184	hsa-miR-365		GPL15467	Homo Sapiens
185	hsa-miR-367		GPL15467	Homo Sapiens
186	hsa-miR-369-3p		GPL15467	Homo Sapiens
187	hsa-miR-369-5p		GPL15467	Homo Sapiens
188	hsa-miR-370		GPL15467	Homo Sapiens
189	hsa-miR-371-3p		GPL15467	Homo Sapiens
190	hsa-miR-372		GPL15467	Homo Sapiens
191	hsa-miR-373		GPL15467	Homo Sapiens
192	hsa-miR-374a		GPL15467	Homo Sapiens
193	hsa-miR-374b		GPL15467	Homo Sapiens
194	hsa-miR-375		GPL15467	Homo Sapiens
195	hsa-miR-376a		GPL15467	Homo Sapiens
196	hsa-miR-376b		GPL15467	Homo Sapiens
197	hsa-miR-377		GPL15467	Homo Sapiens
198	hsa-miR-379		GPL15467	Homo Sapiens
199	hsa-miR-380		GPL15467	Homo Sapiens
200	hsa-miR-381		GPL15467	Homo Sapiens
201	hsa-miR-382		GPL15467	Homo Sapiens
202	hsa-miR-383		GPL15467	Homo Sapiens
203	hsa-miR-409-5p		GPL15467	Homo Sapiens
204	hsa-miR-410		GPL15467	Homo Sapiens
