ID_REF	GSM918942	GSM918943	GSM918944	GSM918945	GSM918946	GSM918947	GSM918948	GSM918949
83	3.71147E-05	9.30406E-05	0.000188763	0.00021207	0.004142013	0.003408484	0.004853453	0.002740927
84	0.000779191	0.000337957	0.000405295	0.000725228	0.000388199	0.000276984	0.000275464	7.4816E-05
85	0.007697434	0.010173513	0.020449048	0.041178012	0.010227446	0.012224979	0.010080307	0.007854306
86	0.003512657	0.001267273	0.000896963	0.001410179	0.001757133	0.001245347	0.000846999	0.000792534
87	0.053226089	0.035858768	0.092057527	0.107164725	0.075030384	0.046803776	0.045232024	0.065815924
88	1.8124E-05	3.18626E-05	9.75459E-06	1.65892E-05	1.16334E-05	9.44674E-06	7.80985E-06	2.56822E-05
89	0.003413218	0.001808771	0.032573984	0.025504896	0.065787065	0.028928072	0.043735493	0.09903474
90	4.82632E-05	8.14054E-06	0.000244663	0.000279424	0.000869252	0.000247704	0.000365647	0.000732155
91	0.024256536	0.025524663	0.071768596	0.065514543	0.013929302	0.031839329	0.018684029	0.025763234
92	0.033183673	0.06896823	0.30779389	0.258746275	0.027175657	0.082412372	0.048448989	0.06941352
93	0.057916225	0.041639188	0.088955739	0.212289364	0.378720061	0.218086708	0.240852595	0.209110368
94	0.000119374	0.000159718	0.000298953	0.000159933	0.000203655	7.58487E-05	6.34927E-05	0.000328261
95	0.167016133	0.289146341	0.218582075	0.168504147	0.604200486	0.405909427	0.220396982	0.311248438
96	0	1.01247E-06	2.06512E-07	3.94478E-07	9.2738E-07	0	1.21866E-07	2.71541E-06
97	0.002204141	0.004163019	0.004981296	0.006511921	0.014823778	0.007710008	0.008272891	0.00849004
98	0.002934097	0.002661219	0.005263173	0.007458638	0.002553141	0.001770924	0.002653208	0.005647376
99	0.000361266	0.002179634	0.003255077	0.005034471	0.000768485	0.001151564	0.000540041	0.001028015
100	0.107809587	0.150999926	0.138260648	0.171418771	0.845040124	0.431090821	0.554947183	0.722443916
101	0.027014118	0.022505708	0.036055983	0.036314688	0.012577585	0.016827641	0.010448201	0.025968266
102	0	0	1.27201E-07	1.68949E-07	4.26934E-07	0	0	0
103	0	7.69563E-08	0	7.1744E-08	0	0	0	0
104	0.000751026	0.001204242	0.001041271	0.001523643	0.000490559	0.000567589	0.00054025	0.001618506
105	0.001440274	0.000605969	0.000121301	0.000114236	7.30695E-05	1.49154E-05	7.20327E-05	0.000287978
106	6.74115E-08	3.25331E-07	8.67847E-08	3.37378E-08	9.83956E-08	1.55376E-07	3.66993E-07	3.91836E-08
107	0.066798447	0.220843879	0.414364841	0.598657185	0.593651744	0.266175142	0.43754957	0.539755334
108	7.13586E-06	8.3535E-06	9.28251E-08	1.0185E-07	3.88439E-06	4.46349E-06	3.96044E-07	0
109	3.22289E-05	0.000221966	6.03195E-05	6.77311E-05	8.36464E-05	6.00478E-05	1.88181E-05	2.85759E-05
110	0.001785311	0.001571103	0.001749792	0.001321527	0.000789414	0.000541741	0.000724773	0.001280092
111	0.083881843	0.084773417	0.053478414	0.082383658	0.054088877	0.045743855	0.042822724	0.039735395
112	0	0	1.00879E-07	1.31827E-06	1.00297E-05	6.7255E-05	3.53043E-07	4.61664E-08
113	8.32964E-06	0	5.8135E-06	2.15961E-06	3.23272E-07	2.20098E-08	0	0
114	2.94321E-05	2.04543E-05	0.000147485	0.000156528	2.41088E-05	4.4698E-05	2.43979E-05	7.49054E-05
115	0.245531729	0.320455681	0.238206139	0.276162053	0.253348949	0.228119827	0.155382655	0.207735041
116	0.002795245	0.005122049	0.001580732	0.001671286	0.001016093	0.000626777	0.000624206	0.001054204
117	2.023E-06	8.53084E-07	1.4178E-05	2.22502E-05	7.28052E-06	1.41541E-05	4.26321E-06	5.06203E-06
118	0.00540982	0.006922931	0.013120045	0.007136641	0.00279076	0.004431414	0.002065197	0.004824581
119	0.087872185	0.044048593	0.072969759	0.114939932	0.058274711	0.070299671	0.047906605	0.040857068
120	0.0006733	0.002019063	0.000237356	0.00036788	0.000186164	0.000127885	0.000178423	0.000264226
121	0.035854708	0.026431933	0.060348784	0.066064269	0.012101668	0.031194008	0.013557372	0.019808363
122	0.002194467	0.002827288	0.003176462	0.008427737	0.003445932	0.005089204	0.001859013	0.00225262
